id_usuario,usuario,correo,rol,estado
,user_0,user015@gmail.com,operador,inactivo
,user_1,user148@correo.sv,operador,bloqueado
,user_2,user223gmail.com,operador,activo
,user_3,user310@outlook.com,supervisor,activo
,user_4,user493@gmail.com,auditor,activo
,user_5,user595@empresa.com,supervisor,bloqueado
,user_6,user696@outlook.com,analista,inactivo
,user_7,user796@gmail.com,analista,inactivo
,user_8,user835@gmail.com,analista,bloqueado
,user_9,user925@empresa.com,analista,inactivo
,user_10,user1010@empresa.com,operador,activo
,user_11,user1164@gmail.com,auditor,bloqueado
,user_12,nan,admin,bloqueado
,user_13,user1386@empresa.com,admin,activo
,user_14,user1498@correo.sv,analista,inactivo
,user_15,user1560@correo.sv,auditor,bloqueado
,user_16,user1626@gmail.com,supervisor,bloqueado
,user_17,user1738@gmail.com,supervisor,activo
,user_18,user1831@outlook.com,analista,activo
,user_19,user1937@gmail.com,analista,inactivo
,user_20,user2018gmail.com,supervisor,inactivo
,user_21,user2155@correo.sv,admin,inactivo
,user_22,user2289@correo.sv,admin,inactivo
,user_23,user2320@correo.sv,operador,activo
,user_24,user2437@empresa.com,admin,bloqueado
,user_25,user2552@empresa.com,supervisor,activo
,user_26,user2675@outlook.com,analista,bloqueado
,user_27,user2799@correo.sv,supervisor,inactivo
,user_28,user2824@correo.sv,supervisor,bloqueado
,user_29,user2998empresa.com,operador,inactivo
,user_30,user3050@empresa.com,admin,inactivo
,user_31,user3143@gmail.com,admin,activo
,user_32,user3251@empresa.com,supervisor,activo
,user_33,nan,operador,bloqueado
,user_34,user3434@correo.sv,supervisor,bloqueado
,user_35,user3566@outlook.com,auditor,inactivo
,user_36,user3632@gmail.com,auditor,inactivo
,user_37,user3750@gmail.com,admin,bloqueado
,user_38,user3818@outlook.com,supervisor,activo
,user_39,user3922@correo.sv,admin,activo
,user_40,user4044@outlook.com,auditor,inactivo
,user_41,user4162@empresa.com,auditor,activo
,user_42,user4234@correo.sv,supervisor,bloqueado
,user_43,user4336@outlook.com,operador,bloqueado
,user_44,user4458@empresa.com,admin,inactivo
,user_45,user4561@gmail.com,supervisor,activo
,user_46,user4635@gmail.com,auditor,inactivo
,user_47,user4785@outlook.com,admin,bloqueado
,user_48,user4868@outlook.com,analista,activo
,user_49,user497@outlook.com,admin,inactivo
,user_50,user5030@outlook.com,operador,bloqueado
,user_51,user5193@correo.sv,supervisor,activo
,user_52,user5210@correo.sv,supervisor,activo
,user_53,user532@correo.sv,operador,activo
,user_54,user5493@empresa.com,admin,activo
,user_55,user5518@empresa.com,admin,activo
,user_56,user5670@gmail.com,auditor,inactivo
,user_57,user5792@empresa.com,admin,activo
,user_58,user5846@outlook.com,analista,bloqueado
,user_59,sin_correo,operador,inactivo
,user_60,user6053@empresa.com,auditor,inactivo
,user_61,user6181@empresa.com,supervisor,bloqueado
,user_62,user6248@outlook.com,operador,bloqueado
,user_63,user6364@gmail.com,supervisor,bloqueado
,user_64,user6474@empresa.com,operador,activo
,user_65,user6579@outlook.com,supervisor,bloqueado
,user_66,user6619@empresa.com,supervisor,activo
,user_67,user6716@gmail.com,auditor,inactivo
,user_68,user6855@correo.sv,admin,activo
,user_69,user6990@empresa.com,admin,inactivo
,user_70,user7022@outlook.com,operador,inactivo
,user_71,user7173@outlook.com,auditor,bloqueado
,user_72,user7282@correo.sv,admin,activo
,user_73,user7378@gmail.com,supervisor,inactivo
,user_74,user7475@gmail.com,operador,inactivo
,user_75,user7588@outlook.com,admin,activo
,user_76,user7675@correo.sv,analista,inactivo
,user_77,sin_correo,admin,activo
,user_78,user784@outlook.com,supervisor,activo
,user_79,user7957@gmail.com,auditor,inactivo
,user_80,user8085@empresa.com,operador,activo
,user_81,user8117@empresa.com,supervisor,bloqueado
,user_82,user8253@outlook.com,supervisor,bloqueado
,user_83,user8354@outlook.com,analista,activo
,user_84,sin_correo,supervisor,inactivo
,user_85,user8582@gmail.com,analista,inactivo
,user_86,user862@empresa.com,supervisor,bloqueado
,user_87,user8768@gmail.com,admin,activo
,user_88,user888@correo.sv,operador,bloqueado
,user_89,user8933@gmail.com,auditor,bloqueado
,user_90,nan,analista,activo
,user_91,user9180@gmail.com,auditor,inactivo
,user_92,user9283@outlook.com,operador,inactivo
,user_93,user9385@correo.sv,analista,activo
,user_94,sin_correo,supervisor,inactivo
,user_95,user9552@empresa.com,analista,activo
,user_96,user9679@outlook.com,auditor,inactivo
,user_97,nan,operador,activo
,user_98,user988@empresa.com,supervisor,inactivo
,user_99,user9992@empresa.com,admin,bloqueado
,user_100,user1002@outlook.com,supervisor,inactivo
,user_101,sin_correo,supervisor,inactivo
,user_102,user10255@outlook.com,admin,activo
,user_103,user10338@outlook.com,supervisor,bloqueado
,user_104,user1049@correo.sv,supervisor,bloqueado
,user_105,user10546@outlook.com,auditor,inactivo
,user_106,user10676@outlook.com,admin,activo
,user_107,user10727@correo.sv,analista,inactivo
,user_108,user10894@gmail.com,supervisor,activo
,user_109,user10993@empresa.com,supervisor,bloqueado
,user_110,user11092gmail.com,auditor,inactivo
,user_111,user11155@gmail.com,supervisor,activo
,user_112,user11285@correo.sv,auditor,activo
,user_113,user11398@gmail.com,auditor,inactivo
,user_114,user11429@correo.sv,supervisor,bloqueado
,user_115,user11593@outlook.com,supervisor,activo
,user_116,sin_correo,supervisor,activo
,user_117,user11757@empresa.com,admin,inactivo
,user_118,user11824@empresa.com,operador,activo
,user_119,user11942@empresa.com,operador,activo
